fold,repeat,fold_in_repeat,n_labeled_in_test,agreement_rate_lam05,ari_lam05,agreement_rate_lam0,ari_lam0
0,0,0,1612,0.9491315136476427,0.8650244723683279,0.11600496277915633,0.4662207152208467
1,0,1,1661,0.9530403371462974,0.8763548857936642,0.10776640577965081,0.4606522070122503
2,0,2,1544,0.9527202072538861,0.872512051479401,0.0977979274611399,0.4863842754081082
3,0,3,1555,0.9491961414790997,0.8664241735005714,0.12733118971061094,0.5004402702873969
4,0,4,1628,0.949017199017199,0.8612959679171658,0.08968058968058969,0.5165156545235741
5,1,0,1625,0.9452307692307692,0.8518300409570482,0.1163076923076923,0.4547945233048668
6,1,1,1592,0.9560301507537688,0.8812281847869275,0.11809045226130653,0.4835103355584621
7,1,2,1602,0.9544319600499376,0.8739373540914999,0.12609238451935081,0.49250962856133357
8,1,3,1651,0.9503331314354937,0.870574324588491,0.08358570563294973,0.4966579528501851
9,1,4,1530,0.9568627450980393,0.8833874297225834,0.12679738562091503,0.45682907136876194
10,2,0,1607,0.955196017423771,0.8859440470670439,0.08711885500933417,0.5463113723104214
11,2,1,1642,0.9543239951278928,0.8719374085325594,0.11693057247259439,0.5389292765011875
12,2,2,1545,0.944336569579288,0.8504898429866701,0.16893203883495145,0.4060694765265601
13,2,3,1570,0.943312101910828,0.851844966395691,0.0980891719745223,0.4421831103892467
14,2,4,1636,0.94559902200489,0.8571869617801959,0.097799511002445,0.48631089456625926
15,3,0,1597,0.9530369442705072,0.8782947793330828,0.1308703819661866,0.45378644461188317
16,3,1,1574,0.9466327827191868,0.8545974735511366,0.14040660736975857,0.4479521513711359
17,3,2,1654,0.9522370012091899,0.8787395854066705,0.07557436517533253,0.5570708049939295
18,3,3,1583,0.9437776373973468,0.8444739070954473,0.10612760581174985,0.4792036518371307
19,3,4,1592,0.9434673366834171,0.8506161163707832,0.1670854271356784,0.4421107809637803
20,4,0,1592,0.9415829145728644,0.848516844010965,0.11306532663316583,0.5187459080657978
21,4,1,1570,0.956687898089172,0.8872941405239114,0.1159235668789809,0.4923761795340538
22,4,2,1641,0.9463741620962828,0.8471079907615328,0.10542352224253504,0.5310793817444115
23,4,3,1588,0.9502518891687658,0.8685680570443057,0.1624685138539043,0.45806646124772926
24,4,4,1609,0.9440646364201367,0.8508183512173809,0.12616532007458048,0.4452571386149342
