fold,repeat,fold_in_repeat,K,silhouette,davies_bouldin,inertia,cluster_sizes
0,0,0,2,0.752928614616394,0.5486615835029836,17015.63671875,"[39168, 42800]"
0,0,0,3,0.948863685131073,0.10096900850482031,900.0115966796875,"[24698, 42802, 14468]"
0,0,0,4,0.9308021664619446,0.5447661667186166,604.5592041015625,"[42317, 23843, 14020, 1788]"
1,0,1,2,0.7431346774101257,0.5438507642714451,16252.208984375,"[43125, 38843]"
1,0,1,3,0.9319912791252136,0.12512875225041417,1077.72119140625,"[43135, 24502, 14331]"
1,0,1,4,0.9143526554107666,0.5223730640615899,704.5341796875,"[23210, 42811, 13702, 2245]"
2,0,2,2,0.7467341423034668,0.5414577687204281,16472.396484375,"[43006, 38962]"
2,0,2,3,0.9398347735404968,0.11797489793283104,1015.0035400390625,"[14344, 43009, 24615]"
2,0,2,4,0.9230962991714478,0.5360000502654687,672.5690307617188,"[42660, 23415, 13761, 2132]"
3,0,3,2,0.7481490969657898,0.5377428406512186,16382.71875,"[39004, 42964]"
3,0,3,3,0.9418388605117798,0.11683252194432521,996.0679321289062,"[25000, 42950, 14018]"
3,0,3,4,0.9243465662002563,0.5063101036547718,668.7521362304688,"[42705, 2175, 13676, 23412]"
4,0,4,2,0.7498733401298523,0.5377553178893678,16049.0,"[42821, 39147]"
4,0,4,3,0.9381343722343445,0.1262565394767773,1061.2994384765625,"[42857, 14209, 24902]"
4,0,4,4,0.9196287393569946,0.5067312428200119,683.0263671875,"[23304, 42574, 13717, 2373]"
5,1,0,2,0.7471023201942444,0.5430388130430396,16449.80078125,"[39203, 42765]"
5,1,0,3,0.9401140809059143,0.12271150152765697,1044.041748046875,"[24805, 42756, 14407]"
5,1,0,4,0.9236274361610413,0.5402799013652919,708.76318359375,"[23669, 42419, 13742, 2138]"
6,1,1,2,0.7497956156730652,0.5434215466495703,16619.49609375,"[42890, 39078]"
6,1,1,3,0.9406324028968811,0.11887594388427969,1013.461181640625,"[14515, 42899, 24554]"
6,1,1,4,0.9247275590896606,0.526385081727272,663.11572265625,"[42586, 23417, 13858, 2107]"
7,1,2,2,0.7515583038330078,0.5422313355456453,16576.83984375,"[42935, 39033]"
7,1,2,3,0.9419980645179749,0.12008048404613329,1062.8642578125,"[42966, 24624, 14378]"
7,1,2,4,0.9274933338165283,0.5310631308279984,673.7652587890625,"[23293, 42587, 13783, 2305]"
8,1,3,2,0.7447155117988586,0.5413002621947838,16760.7734375,"[39137, 42831]"
8,1,3,3,0.9436214566230774,0.1088593388506587,963.9203491210938,"[24873, 42846, 14249]"
8,1,3,4,0.928917407989502,0.5203659086617148,638.0636596679688,"[13880, 42577, 23563, 1948]"
9,1,4,2,0.7495303153991699,0.5448472614170435,16506.96484375,"[39039, 42929]"
9,1,4,3,0.9448732137680054,0.11681021644274918,1011.3548583984375,"[24564, 42937, 14467]"
9,1,4,4,0.9287835955619812,0.5117902803268737,666.9691162109375,"[42676, 23094, 14061, 2137]"
10,2,0,2,0.7598230242729187,0.541567600708699,16318.623046875,"[42994, 38974]"
10,2,0,3,0.9405728578567505,0.12415725785257685,1066.3671875,"[43016, 24662, 14290]"
10,2,0,4,0.9263076186180115,0.5158993689094414,683.372314453125,"[23589, 42650, 13462, 2267]"
11,2,1,2,0.7414909601211548,0.5432384810196216,16543.1953125,"[39074, 42894]"
11,2,1,3,0.9375685453414917,0.11938695042682469,1013.8331909179688,"[42894, 24591, 14483]"
11,2,1,4,0.9216501712799072,0.532711898564475,673.6143188476562,"[2065, 42539, 23569, 13795]"
12,2,2,2,0.7505196332931519,0.544379376213242,16628.484375,"[39053, 42915]"
12,2,2,3,0.9423156976699829,0.1130626352905042,993.8994750976562,"[24642, 42929, 14397]"
12,2,2,4,0.9257624745368958,0.5135318742772597,653.5447998046875,"[14010, 42648, 23221, 2089]"
13,2,3,2,0.7532597184181213,0.5486574821535459,16710.67578125,"[38916, 43052]"
13,2,3,3,0.9401111602783203,0.11169750300778421,962.3292236328125,"[43037, 24398, 14533]"
13,2,3,4,0.924659252166748,0.5428489349202053,649.6551513671875,"[42620, 23508, 13907, 1933]"
14,2,4,2,0.7467936277389526,0.5414505250983961,16225.888671875,"[42733, 39235]"
14,2,4,3,0.9378910064697266,0.12952616785099513,1097.669189453125,"[42759, 24698, 14511]"
14,2,4,4,0.9167330265045166,0.5065605875919963,695.384521484375,"[13903, 42457, 23126, 2482]"
15,3,0,2,0.7561992406845093,0.539703972533848,16439.560546875,"[43164, 38804]"
15,3,0,3,0.9447908401489258,0.11722092535936972,1018.47119140625,"[43173, 24697, 14098]"
15,3,0,4,0.9264939427375793,0.5248056854306232,667.0537109375,"[23657, 42804, 13399, 2108]"
16,3,1,2,0.7474371194839478,0.5436942191244285,16230.3203125,"[42972, 38996]"
16,3,1,3,0.9407957196235657,0.11940639406276594,1022.3391723632812,"[43002, 24612, 14354]"
16,3,1,4,0.9215101599693298,0.5226117714161918,669.564453125,"[23151, 42690, 13911, 2216]"
17,3,2,2,0.7467808723449707,0.5403668590035822,16166.6728515625,"[42646, 39322]"
17,3,2,3,0.9346628785133362,0.1306443129271948,1115.452880859375,"[25089, 14245, 42634]"
17,3,2,4,0.916599690914154,0.5299998196169322,724.2784423828125,"[42251, 23660, 13604, 2453]"
18,3,3,2,0.7332319617271423,0.547732069915284,16364.6015625,"[39140, 42828]"
18,3,3,3,0.9293186664581299,0.13205655660172463,1137.0816650390625,"[24490, 42817, 14661]"
18,3,3,4,0.9108221530914307,0.5420237563921716,756.0776977539062,"[42390, 23185, 14000, 2393]"
19,3,4,2,0.7501122951507568,0.5483982021356868,16601.986328125,"[39105, 42863]"
19,3,4,3,0.9389787316322327,0.12054047094176845,1038.9423828125,"[24358, 42867, 14743]"
19,3,4,4,0.922110378742218,0.530725859242476,684.55322265625,"[23108, 42514, 14180, 2166]"
20,4,0,2,0.7459090352058411,0.5422146116606188,16473.435546875,"[39082, 42886]"
20,4,0,3,0.9385005831718445,0.11614593920888465,1006.031494140625,"[24832, 42898, 14238]"
20,4,0,4,0.9210570454597473,0.5365711276424274,661.651123046875,"[13758, 42466, 23622, 2122]"
21,4,1,2,0.7347025871276855,0.5452406207584134,16620.271484375,"[42821, 39147]"
21,4,1,3,0.935310959815979,0.11970064577830969,1038.8255615234375,"[42845, 24671, 14452]"
21,4,1,4,0.9187974333763123,0.5339506548108879,683.7183837890625,"[2111, 23584, 13824, 42449]"
22,4,2,2,0.7474137544631958,0.5417950584073824,16106.970703125,"[39089, 42879]"
22,4,2,3,0.9361543655395508,0.1281285725143072,1079.621826171875,"[42913, 14440, 24615]"
22,4,2,4,0.9204925894737244,0.515816140309413,697.939453125,"[42612, 13886, 23099, 2371]"
23,4,3,2,0.7521706819534302,0.5357502986088268,16329.26171875,"[39004, 42964]"
23,4,3,3,0.9372355341911316,0.11387419206274085,983.1535034179688,"[42966, 25015, 13987]"
23,4,3,4,0.9241547584533691,0.4954403955532884,623.341552734375,"[42736, 23330, 13609, 2293]"
24,4,4,2,0.7543004751205444,0.5455237871455071,16868.90234375,"[42848, 39120]"
24,4,4,3,0.9466970562934875,0.10366367948073286,905.9862060546875,"[42837, 24655, 14476]"
24,4,4,4,0.9316701292991638,0.5204194177255241,604.2750854492188,"[42552, 23416, 14146, 1854]"
