,auc,auc,accuracy,accuracy,f1,f1,precision,precision,recall,recall,mcc,mcc,ece_before,ece_before,ece_after,ece_after,brier,brier,nll,nll,calib_slope,calib_slope,calib_intercept,calib_intercept
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,,,,,,,
global,0.8731254125324622,0.004631789166920241,0.8777737189573791,0.0013926098693705158,0.925974281927939,0.0008788767936434858,0.8907744233540543,0.003511530178112101,0.964105878096097,0.004651153195251061,0.5941642017544365,0.005638045762533393,0.06731114067956251,0.01694757385064944,0.07214541315951997,0.010810698238506493,0.10329753993156332,0.003134205982320526,0.3539476497239273,0.008105958331606294,0.7578938651889031,0.07443774256519187,0.878656827607047,0.07465577795155393
hard_moe,0.7663231285345853,0.013731851421742861,0.8567835257331886,0.006007648630185396,0.915168895686728,0.0033169367873413405,0.8629565027883753,0.006285846213160233,0.9741580347570165,0.004718808247519003,0.5045858654632479,0.025457391046627458,0.2567290693272972,0.02105332069143114,0.2527472634006673,0.027080263801380892,,,,,,,,
hard_moe_isotonic,0.7718558523791589,0.012187279835932603,0.8568399387486769,0.005969532551991261,0.9151661887765015,0.0032864795547592847,0.8632802737174284,0.006236774904804731,0.973737446645634,0.004512181267573186,0.5049494089025485,0.025354586040150697,0.2567290693272972,0.02105332069143114,0.006700418935783844,0.0020831888630472727,,,,,,,,
lstm,0.8834936210096938,0.002640701011157881,0.8769026567114101,0.00158234349593933,0.9252610040505509,0.001049951854191318,0.8921334033690907,0.003438025646145612,0.9609796974595366,0.004857265824349408,0.5925019106079387,0.005920378909591942,0.15634446626944473,0.013668153805684074,0.15634446626944473,0.013668153805684074,0.12554163666070092,0.004147920532770189,0.4105405782721616,0.013121029090954778,0.9898972729470601,0.05478713617523425,1.3331849736754884,0.07555672293975754
lstm_isotonic,0.8829450615566544,0.0026452268857033645,0.876905975731328,0.0015940743141670455,0.925304316632743,0.0010385812495533277,0.8917219242809389,0.003587740903253085,0.961553042993814,0.004913908044567531,0.5921921846380301,0.006115257117327279,0.15634446626944473,0.013668153805684074,0.007061210201326635,0.0017221433142347046,0.09326636935234715,0.0011240170238309925,0.3154608296011036,0.003611286738513965,0.9737048767533238,0.020679447902358233,0.026816442552550397,0.030350503752080336
soft_moe,0.8840283144875393,0.0025705268194401013,0.8776244004995756,0.0016819809581221541,0.92578882791118,0.0010155479646579762,0.8916632936665724,0.004070272492912676,0.9626746060369017,0.005071966015846726,0.5943590002924094,0.007032257878811228,0.1547694236749343,0.0166065617251993,0.14381415122335087,0.01538282428951849,0.12562789171500952,0.004837246207666824,0.40926025309983144,0.017184641391756326,0.9714915704274136,0.07536140031726997,1.3275213415699065,0.10471736032428525
soft_moe_calibrated,0.8840283157449492,0.0025705266749069286,0.8779114330611588,0.0015787807436669894,0.9259011932913762,0.0009967079841070661,0.8924476847561926,0.0034909129937515846,0.9619945671494844,0.004597922160990855,0.5957975442182553,0.006212649482779045,0.1547694236749343,0.0166065617251993,0.14381415122335087,0.01538282428951849,,,,,,,,
soft_moe_isotonic,0.883568929537385,0.0026127726643521304,0.877596193957421,0.0017594720850254567,0.925769089526801,0.0010197900253004423,0.8916893463624909,0.004742352110368015,0.9626160116671446,0.0057233470115097464,0.5943443585951603,0.007754800051898916,0.1547694236749343,0.0166065617251993,0.006716304652942162,0.0017717927465271295,0.09275845532627605,0.000954582763399209,0.31428302396481816,0.0035516252285914904,0.9728088792483043,0.019823241356585912,0.030167844708361216,0.030791231691436903
soft_moe_no_kl,0.8840556133461283,0.002679807818486119,0.8779462697287593,0.0014754831785475102,0.925827091440158,0.0009323574702301016,0.893444708781501,0.0036592526591103366,0.960682561541087,0.0047685269091427025,0.5966869987114829,0.00606151107826995,0.15603600624115813,0.011317385967067441,0.15603600624115813,0.011317385967067441,0.1258327561186918,0.00361880138516308,0.4113144572871375,0.010961541759970174,0.9585649755518095,0.076713289727158,1.3504733825462494,0.0691108638697892
soft_moe_no_kl_isotonic,0.8836729538059765,0.002684940609696838,0.8777322445940466,0.001425326202608473,0.9257667613852858,0.0008035295263899473,0.8926249555150981,0.004167011231145231,0.961509088049479,0.004938322639035122,0.5954075161507087,0.006572460453263217,0.15603600624115813,0.011317385967067441,0.00660250116506691,0.0015474620927584492,0.09277653641794363,0.0009051136111124786,0.31418399158308086,0.0036571832356307728,0.9717920311847176,0.02021583783016547,0.0314559226173372,0.03078569967280957
tabnet,0.8826290661884744,0.0035878812515278136,0.8760282724174084,0.0022044239544914317,0.9248787406315389,0.0012968681707680025,0.8901493257148207,0.003530603448370699,0.9624569774370866,0.004117381100147402,0.5882258546474631,0.008598522787165457,0.1613491836776104,0.02275300849358926,0.1613491836776104,0.02275300849358926,0.127745715393866,0.0077368625085549375,0.4178200340203654,0.022267608938323503,0.9992436571506482,0.07184228963743401,1.3514275578466208,0.12270776188107325
tabnet_isotonic,0.8820636405291701,0.0035057389279967775,0.8761693006548305,0.0021645744210966704,0.9249542513832938,0.0013021158135105176,0.890322576826302,0.003176273230982238,0.9624130332195299,0.0038784988619988306,0.5887800067323604,0.00822718142560129,0.1613491836776104,0.02275300849358926,0.00645985148155535,0.001753689369638532,0.09401219052370856,0.001486247117020084,0.3176501155768002,0.0046867628329731945,0.9752826002499748,0.018941468051490256,0.0240532280187369,0.02840973077057327
