feature_name,dtype,description
avg_chapter_delays,float64,MOOC behavioral engineered feature
act_cnt_weekDay_01,float64,MOOC behavioral engineered feature
parallel_enrollments,float64,MOOC behavioral engineered feature
act_cnt_day_01,float64,MOOC behavioral engineered feature
act_cnt_day_02,float64,MOOC behavioral engineered feature
act_cnt_day_03,float64,MOOC behavioral engineered feature
act_cnt_day_04,float64,MOOC behavioral engineered feature
act_cnt_day_05,float64,MOOC behavioral engineered feature
act_cnt_day_06,float64,MOOC behavioral engineered feature
act_cnt_day_07,float64,MOOC behavioral engineered feature
act_cnt_day_08,float64,MOOC behavioral engineered feature
act_cnt_day_09,float64,MOOC behavioral engineered feature
server_sequential,float64,MOOC behavioral engineered feature
act_cnt_day_19,float64,MOOC behavioral engineered feature
act_cnt_day_18,float64,MOOC behavioral engineered feature
act_cnt_day_17,float64,MOOC behavioral engineered feature
act_cnt_day_16,float64,MOOC behavioral engineered feature
act_cnt_day_15,float64,MOOC behavioral engineered feature
act_cnt_day_14,float64,MOOC behavioral engineered feature
act_cnt_day_13,float64,MOOC behavioral engineered feature
act_cnt_day_12,float64,MOOC behavioral engineered feature
act_cnt_day_11,float64,MOOC behavioral engineered feature
act_cnt_day_10,float64,MOOC behavioral engineered feature
act_cnt_day_29,float64,MOOC behavioral engineered feature
wiki,float64,MOOC behavioral engineered feature
browser_problem,float64,MOOC behavioral engineered feature
act_cnt_weekDay_04,float64,MOOC behavioral engineered feature
act_cnt_weekDay_05,float64,MOOC behavioral engineered feature
act_cnt_weekDay_06,float64,MOOC behavioral engineered feature
act_cnt_weekDay_00,float64,MOOC behavioral engineered feature
act_cnt_weekDay_02,float64,MOOC behavioral engineered feature
act_cnt_weekDay_03,float64,MOOC behavioral engineered feature
access,float64,MOOC behavioral engineered feature
browser_combinedopenended,float64,MOOC behavioral engineered feature
browser_access,float64,MOOC behavioral engineered feature
server_chapter_percent,float64,MOOC behavioral engineered feature
browser_video,float64,MOOC behavioral engineered feature
act_cnt_hour_22,float64,MOOC behavioral engineered feature
class_size,float64,MOOC behavioral engineered feature
server_sequential_percent,float64,MOOC behavioral engineered feature
act_cnt_hour_03,float64,MOOC behavioral engineered feature
act_cnt_hour_02,float64,MOOC behavioral engineered feature
act_cnt_hour_01,float64,MOOC behavioral engineered feature
act_cnt_hour_00,float64,MOOC behavioral engineered feature
act_cnt_hour_07,float64,MOOC behavioral engineered feature
act_cnt_hour_06,float64,MOOC behavioral engineered feature
act_cnt_hour_05,float64,MOOC behavioral engineered feature
act_cnt_hour_04,float64,MOOC behavioral engineered feature
act_cnt_hour_09,float64,MOOC behavioral engineered feature
act_cnt_hour_08,float64,MOOC behavioral engineered feature
browser_video_percent,float64,MOOC behavioral engineered feature
navigate,float64,MOOC behavioral engineered feature
server_problem,float64,MOOC behavioral engineered feature
act_cnt_hour_10,float64,MOOC behavioral engineered feature
act_cnt_hour_11,float64,MOOC behavioral engineered feature
act_cnt_hour_12,float64,MOOC behavioral engineered feature
act_cnt_hour_13,float64,MOOC behavioral engineered feature
act_cnt_hour_14,float64,MOOC behavioral engineered feature
act_cnt_hour_15,float64,MOOC behavioral engineered feature
act_cnt_hour_16,float64,MOOC behavioral engineered feature
act_cnt_hour_17,float64,MOOC behavioral engineered feature
act_cnt_hour_18,float64,MOOC behavioral engineered feature
act_cnt_hour_19,float64,MOOC behavioral engineered feature
act_cnt_day_26,float64,MOOC behavioral engineered feature
act_cnt_day_27,float64,MOOC behavioral engineered feature
act_cnt_day_24,float64,MOOC behavioral engineered feature
act_cnt_day_25,float64,MOOC behavioral engineered feature
act_cnt_day_22,float64,MOOC behavioral engineered feature
act_cnt_day_23,float64,MOOC behavioral engineered feature
act_cnt_day_20,float64,MOOC behavioral engineered feature
act_cnt_day_21,float64,MOOC behavioral engineered feature
server_chapter,float64,MOOC behavioral engineered feature
act_cnt_day_28,float64,MOOC behavioral engineered feature
act_cnt_day_30,float64,MOOC behavioral engineered feature
browser_problem_percent,float64,MOOC behavioral engineered feature
browser_sequential,float64,MOOC behavioral engineered feature
act_cnt_hour_21,float64,MOOC behavioral engineered feature
act_cnt_hour_20,float64,MOOC behavioral engineered feature
act_cnt_hour_23,float64,MOOC behavioral engineered feature
server_access,float64,MOOC behavioral engineered feature
sessions_in_week_1,float64,MOOC behavioral engineered feature
sessions_in_week_0,float64,MOOC behavioral engineered feature
sessions_in_week_3,float64,MOOC behavioral engineered feature
sessions_in_week_2,float64,MOOC behavioral engineered feature
sessions_in_week_4,float64,MOOC behavioral engineered feature
tab_total_events,float64,MOOC behavioral engineered feature
tab_active_days,float64,MOOC behavioral engineered feature
tab_unique_objects,float64,MOOC behavioral engineered feature
tab_event_video,float64,MOOC behavioral engineered feature
tab_event_problem,float64,MOOC behavioral engineered feature
tab_event_discussion,float64,MOOC behavioral engineered feature
tab_event_page_close,float64,MOOC behavioral engineered feature
tab_src_server,float64,MOOC behavioral engineered feature
tab_src_browser,float64,MOOC behavioral engineered feature
tab_active_ratio,float64,MOOC behavioral engineered feature
daily_daily_mean,float64,MOOC behavioral engineered feature
daily_daily_std,float64,MOOC behavioral engineered feature
daily_daily_max,float64,MOOC behavioral engineered feature
daily_daily_first7,float64,MOOC behavioral engineered feature
daily_daily_mid14,float64,MOOC behavioral engineered feature
daily_daily_last7,float64,MOOC behavioral engineered feature
daily_daily_last3,float64,MOOC behavioral engineered feature
daily_daily_zero_last7,float64,MOOC behavioral engineered feature
daily_daily_early_to_late_ratio,float64,MOOC behavioral engineered feature
daily_daily_slope,float64,MOOC behavioral engineered feature
daily_daily_recency_weighted,float64,MOOC behavioral engineered feature
daily_daily_entropy,float64,MOOC behavioral engineered feature
mc_video_w1,float64,MOOC behavioral engineered feature
mc_video_w2,float64,MOOC behavioral engineered feature
mc_video_w3,float64,MOOC behavioral engineered feature
mc_video_w4,float64,MOOC behavioral engineered feature
mc_problem_w1,float64,MOOC behavioral engineered feature
mc_problem_w2,float64,MOOC behavioral engineered feature
mc_problem_w3,float64,MOOC behavioral engineered feature
mc_problem_w4,float64,MOOC behavioral engineered feature
mc_discussion_w1,float64,MOOC behavioral engineered feature
mc_discussion_w2,float64,MOOC behavioral engineered feature
mc_discussion_w3,float64,MOOC behavioral engineered feature
mc_discussion_w4,float64,MOOC behavioral engineered feature
mc_access_w1,float64,MOOC behavioral engineered feature
mc_access_w2,float64,MOOC behavioral engineered feature
mc_access_w3,float64,MOOC behavioral engineered feature
mc_access_w4,float64,MOOC behavioral engineered feature
mc_video_trend,float64,MOOC behavioral engineered feature
mc_video_last_ratio,float64,MOOC behavioral engineered feature
mc_problem_trend,float64,MOOC behavioral engineered feature
mc_problem_last_ratio,float64,MOOC behavioral engineered feature
mc_discussion_trend,float64,MOOC behavioral engineered feature
mc_discussion_last_ratio,float64,MOOC behavioral engineered feature
mc_access_trend,float64,MOOC behavioral engineered feature
mc_access_last_ratio,float64,MOOC behavioral engineered feature
mc_all_events_w1,float64,MOOC behavioral engineered feature
mc_all_events_w2,float64,MOOC behavioral engineered feature
mc_all_events_w3,float64,MOOC behavioral engineered feature
mc_all_events_w4,float64,MOOC behavioral engineered feature
mc_all_events_trend,float64,MOOC behavioral engineered feature
mc_all_events_last2,float64,MOOC behavioral engineered feature
mc_all_events_last_ratio,float64,MOOC behavioral engineered feature
temp_w2,float64,MOOC behavioral engineered feature
temp_w3,float64,MOOC behavioral engineered feature
temp_w4,float64,MOOC behavioral engineered feature
temp_trend,float64,MOOC behavioral engineered feature
temp_growth_rate,float64,MOOC behavioral engineered feature
temp_volatility,float64,MOOC behavioral engineered feature
temp_drop_indicator,float64,MOOC behavioral engineered feature
inter_video_x_forum,float64,MOOC behavioral engineered feature
inter_forum_per_day,float64,MOOC behavioral engineered feature
